origin_region,dest_region,vol,suppliers,ifr,delivery_rel,avg_direct_gain,avg_o2d_actual,avg_mi_actual_to_cust,pct_of_directs
West Coast,Midwest,48112,5541,0.8703649817093448,0.8451945460591952,0.9565693312103674,7.349565871026214,88.15697746923844,0.08273191400090449
West Coast,Southeast,37176,4850,0.875,0.8541263180546589,0.9535285293914293,7.246500982161086,104.63011351409511,0.0639267050818429
Southeast,Midwest,35321,2773,0.8534582826080802,0.8046771042722459,0.8761530884887171,4.562491228796119,94.01679454149091,0.06073690419076213
Northeast,Midwest,34372,3559,0.9021587338531363,0.842837193064122,0.8951087972595559,4.30132916529884,77.52686779937159,0.059105033007131054
West Coast,West Coast,31242,4777,0.894404967671724,0.840983291722681,0.8740377278718119,4.446983761176195,90.70017284424812,0.053722781368811486
West Coast,Northeast,26596,3901,0.8722364265303053,0.869378853963002,0.9645646958702477,7.586476245383599,94.2076064069785,0.045733662802794645
Northeast,Southeast,26321,3177,0.8937350404619885,0.867254283651837,0.8627854486038629,4.176953696610874,97.75935564758178,0.04526078126907647
West Coast,Florida,25634,4268,0.8760240305843802,0.8513692751813997,0.9413370836826139,7.319595069048919,148.66720761488648,0.0440794372193878
West Coast,Mid-Atlantic,23994,4144,0.8759273151621239,0.8632574810369259,0.9587033637371204,7.482110110861049,108.19594481953821,0.04125934370921397
Southeast,Florida,19611,2104,0.854928356534598,0.8922033552598032,0.7656670685827458,3.8569398138065614,128.1477640099944,0.033722471846353054
West Coast,South Central,19541,3282,0.9005680364362111,0.8479606980195487,0.9169335064129855,5.220332828899433,121.96103065349777,0.033602102001406606
West Coast,Mountain,19540,3841,0.9041965199590584,0.8453940634595701,0.9089243318995345,4.419178607983623,64.43880757420675,0.033600382432193085
Southeast,Northeast,18954,1938,0.858235728606099,0.8349688720059091,0.889979365307112,4.343657160226796,83.85185185185185,0.03259271487307
Northeast,Florida,17004,2642,0.9054928252175959,0.8506233827334745,0.8845975046985072,4.790098304496877,133.3333509762409,0.02923955490670477
Southeast,West Coast,16631,1472,0.8201551319824424,0.8639288076483675,0.9531112458787665,7.975675693018633,115.86550417894296,0.028598155590061576
Southeast,South Central,16146,1633,0.8702465006812833,0.8210082992691689,0.856648342161484,4.4367493349377405,122.15615632354763,0.027764164521504073
Southeast,Mid-Atlantic,14775,2002,0.8529272419627749,0.8467005076142132,0.8176683909650364,4.1757227895045155,103.5050964467005,0.02540663512976729
Northeast,West Coast,12610,1645,0.9003172085646313,0.8996827914353688,0.9634209689685355,8.327439294673402,103.86192704203013,0.02168376778249513
Northeast,South Central,11165,1754,0.9063143752798926,0.8592924317062248,0.903891615949977,5.5096619810825915,144.69506493506495,0.01919899026895782
Southeast,Southeast,9775,1586,0.8613810741687979,0.8615856777493606,0.7995658125288511,4.03480988917306,101.91485421994885,0.016808789062164146
Southeast,Mountain,9150,1379,0.8438251366120219,0.8389071038251366,0.9391793339305957,6.495693180550909,117.27840437158468,0.015734058303713754
South Central,Midwest,7787,1086,0.8858353666367021,0.8252215230512392,0.887282526909908,4.417129727647256,109.49784255810967,0.013390285465685136
